X	Y	Z			
125.000419444444	11.2489111111111	3.4 
125.000683333333	11.2457416666667 	3.5 
125.002282 	11.251386	2.4 
125.002363888889	11.2518361111111	3 
125.002467	11.251719	3.6 
125.002655555556	11.2514083333333 	2.7 
125.003777777778 	11.2295833333333 	3.39 
125.004211111111	11.2314527777778 	8.6 
125.004672222222	11.2214583333333 	3.1 
125.005855555556	11.2489805555556 	2.6 
125.007586111111	11.2514277777778 	0.3 
125.008147222222	11.204625	0.7 
125.008558333333	11.2422	1.1 
125.011402777778	11.2125611111111 	3.9 
125.015222222222	11.2102777777778 	5.17 
125.015666666667	11.2118333333333 	4.60 
125.015805555556	11.2119722222222 	5.86 
125.015805555556	11.2119722222222 	5.00 
125.020872222222	11.2074611111111 	3.3 
125.022433333333	11.2271472222222 	3.5 
125.024680555556	11.2005083333333 	5.9 
125.024747222222	11.200525	2.5 
125.025102777778	11.2115222222222 	4.2 
125.025955555556	11.2276083333333 	3.9 
125.026	11.2276166666667	4.2
125.0015	11.2434 6
125.0096	11.2457	3
125.0095	11.2463	2
125.0088	11.2468	3
125.0070	11.2487 1.9
125.0051	11.2394	2.8
124.9961	11.2469	3.91
125.0057	11.2385	5.6
125.0001	11.2437	2.5
125.0027	11.2241	4
125.0037	11.2315	2.8
125.0038	11.2249	3.6
125.0040	11.2307	2.8
125.0037	11.2293	3.1
125.0251	11.2115	4.1 
125.0264	11.2081	2.7
125.0102	11.2067	1.4
125.0154	11.2096	2.4
124.9905	11.2530	0.27
125.0218	11.2176	2.9
124.9906	11.255	3		
